context,questions,answers
"no, you are not eligible for the plan if you have pre existing cancer.",Can you opt for this plan if you have a pre existing cancer?,"no, you are not eligible for the plan if you have pre existing cancer."
"yes. if the change or enhancement in your deposit portfolio earns a cumulative interest along with that of the earlier portfolio greater than rs. 10,000/- you will be liable for tds on your current portfolio.",Does any change or enhancement in your deposit portfolio affect tds liability?,if the change or enhancement in your deposit portfolio earns a cumulative interest along with that of the earlier portfolio greater than rs.
It can take about seven days depending on your other financial institution's ability to accept electronic balance transfer payments.,How long will it take for your balance transfer to post?,It can take about seven days depending on your other financial institution's ability to accept electronic balance transfer payments.
all documents required as for individual demat account. additional documents required are :,What are the requirements for opening a nri demat account with hdfc bank?,all documents required as for individual demat account.
"you need to maintain an average quarterly balance of rs. 5,00,000 in your max current account.",What is the minimum balance that you need to maintain in a max current account?,"5,00,000 in your max current account."
please note that the bank does not provide atm pin for your hdfc bank multi currency forexplus platinum card. you need to set the atm pin online by using hdfc bank prepaid card netbanking service. in future also you can use the netbanking service to reset your atm pin.,How to set the atm pin?,in future also you can use the netbanking service to reset your atm pin.
"to cancel your isic forexplus card, we request you to contact the phonebanking team or walk into your nearest hdfc bank branch and place a request towards cancellation. your request will be processed within one working day of us receiving the request.there are no charges towards the cancellation of a isic forexplus card. however, currency conversion tax as applicable from time to time will be deducted at the time of providing credit to you.kindly visit the following url to access information for the complete address and contact details of our branches and phonebanking centers:",How can you cancel your isic hdfc bank forexplus card?,"to cancel your isic forexplus card, we request you to contact the phonebanking team or walk into your nearest hdfc bank branch and place a request towards cancellation."
removal of a pledge from the security to regain the rights over the security is called de-pledge.*conditions apply,What is de-pledge?,removal of a pledge from the security to regain the rights over the security is called de-pledge.
A number pin indicates that multiple services are available at a single location.,What does a number pin on the map mean?,A number pin indicates that multiple services are available at a single location.
"If you are no longer a resident of the UK, please contact savings@blme.com. We reserve the right to close your account and return the balance to you.","10. If you move overseas, what happens to your savings account?",We reserve the right to close your account and return the balance to you.
"payzapp for business is arevolutionary invoicing solution by hdfc bank which enables start-ups to request and receive payments on the go.
ideal for all start-ups who need to collect payment on delivery / advance payment / balance payment / on-field collection.
benefits to start-ups ?- instant flow of money to start-ups account
- convenient and secure money transfer
- no hassles of cash management",What are benefits of payzapp for business?,payzapp for business is arevolutionary invoicing solution by hdfc bank which enables start-ups to request and receive payments on the go.
we regret to inform you that tenure selected for the fixed deposit account cannot be changed once the account is opened. in this case we suggest that you can close your existing fixed deposit account and open a new account with a desired tenure.,How to change existing fixed deposit account tenure?,in this case we suggest that you can close your existing fixed deposit account and open a new account with a desired tenure.
"You'll need to have an Online Banking account. Once you've logged into your Online Banking account, follow the prompts to set up email and text alerts.",How do you set up email alerts about your accounts?,"Once you've logged into your Online Banking account, follow the prompts to set up email and text alerts."
"Yes. Currently, Click to Pay is only available for online checkout.",Is Click to Pay for online payments only?,"Currently, Click to Pay is only available for online checkout."
"interactive statement is an added feature in mpassbook. this feature allows you to add notes to transactions, categorize your transactions and view a breakup/chart of your income and expenses.",What is interactive statement in mpassbook?,"this feature allows you to add notes to transactions, categorize your transactions and view a breakup/chart of your income and expenses."
"Your customer number is a six-digit number unique to you, used when logging into your eSavings account. It is provided to you via email when you first open an online account.",What is a customer number?,"Your customer number is a six-digit number unique to you, used when logging into your eSavings account."
"No. Nothing is being recorded on your camera for us to see. If you provide the app with access to your camera, you will be able to enjoy the augmented reality feature and scan your card to verify eligibility, as described above.",Are you recording with your camera?,"If you provide the app with access to your camera, you will be able to enjoy the augmented reality feature and scan your card to verify eligibility, as described above."
the minimum loan value is rs. 2 lakhs.,What is the minimum loan value?,2 lakhs.
A key fob or payment tag is a special contactless device that you can attach to your key chain. Card issuers sometimes provide this as a companion to your traditional primary Mastercard plastic card.,What is a key fob or payment tag?,A key fob or payment tag is a special contactless device that you can attach to your key chain.
A key fob or payment tag is a special contactless device that you can attach to your key chain. Card issuers sometimes provide this as a companion to your traditional primary Mastercard plastic card.,What is a key fob or payment tag?,A key fob or payment tag is a special contactless device that you can attach to your key chain.
"customer can load hajj umrah forexplus card by issuance of cheque against the amount to be loaded. however, cards will be loaded post realisation of the cheque deposited by the customer. the exchange rate applicable will be for the day on which funds are realized and card is activated.",Can you issue cheques to load the hajj umrah forexplus card?,"however, cards will be loaded post realisation of the cheque deposited by the customer."
"3d stands for death, disease & disability. hdfc life click 2 protect 3d plus is a comprehensive term plan that provides protection against these 3d's.",What does 3d stand for in hdfc life click 2 protect 3d plus?,hdfc life click 2 protect 3d plus is a comprehensive term plan that provides protection against these 3d's.
"the free cash deposit limit at your home branch depends on the amb you have maintained during the transaction month. this free limit is calculated as 10 times the actual amb maintained during the transaction month or 50 transactions per month, whichever is less. in case you make more than 50 transactions or your cash deposits are more than 10 times your amb at your home branch, you will have to pay a charge of rs. 3 per rs. 1,000, subject to a minimum of rs. 50 (excluding taxes).*the home location cash deposit free limit is rounded off to the nearest thousand** amb non-maintenance charges","How much cash can you deposit per month in your home branch, without being charged?","in case you make more than 50 transactions or your cash deposits are more than 10 times your amb at your home branch, you will have to pay a charge of rs."
the fmc will be credited within 8 days of closure.,In how many days will the fmc be credited on pro-rata basis in your bank account after closure?,the fmc will be credited within 8 days of closure.
"Automatic payments may only be set up from a BECU checking, savings*, or money market* account. You may choose to pay either the minimum payment due or the statement balance. To request automatic payments on your credit card account, call us at 800.233.2328, send us a secure message in Online Banking or the BECU mobile app, or visit us at any of our locations.",How do you set up automatic payments?,"To request automatic payments on your credit card account, call us at 800."
"you can approach a representative office. kindly provide the list/linked of the designated branches with the address.requirements to open a nri demat account:-pan card (mandatory)passport copy (photocopy)passport size photographpis account (optional)visa copy (the visa could be either in the passport or given separately)cancelled cheque leaf copy / bank statement for dividend detailsproof of foreign address and local address (if any)you can open an nri demat account from overseas without visiting a demat services branch called a non face-to-face account. in such a case, the account opening form and photocopies of the kyc documents and pan card should be duly signed by you andphotocopies of the kyc documents and pan card have to be attested by any of the following: notary public, court, magistrate, judge, local banker, indian embassy / consulate general of the country where nri/fn is residing outside india and the attestation is to the effect that it has been verified with the originals.",What is the procedure to open an nri demat account from overseas without visiting a demat service branch in india?,requirements to open a nri demat account:-pan card (mandatory)passport copy (photocopy)passport size photographpis account (optional)visa copy (the visa could be either in the passport or given separately)cancelled cheque leaf copy / bank statement for dividend detailsproof of foreign address and local address (if any)you can open an nri demat account from overseas without visiting a demat services branch called a non face-to-face account.
no minimum balance requirement.,What is the minimum balance required for an institutional current account ?,no minimum balance requirement.
"The Posted Activity section shows all transactions that have been posted to your account including any payments and credits. You may select from transactions which have posted to your account since your last statement date, or you may select from prior statement dates.",What is Posted Activity?,The Posted Activity section shows all transactions that have been posted to your account including any payments and credits.
"following documents are required to open a current account of a sole proprietorship entity:proof of existence in the name of firmproof of address in the name of firmkyc of the proprietor
any two of the below listed documents shall be obtained for establishing proof of existence.
registration certificate/license issued by municipal authorities such as shop & establishment certificate/trade licensecst/vat/service tax certificate or letter of registration for cst/vat/service taxcertificate/registration document issued by professional tax authoritiesvalid business license or certificate of registration issued by state/central government authority (validity would include the grace period for renewal as mentioned in the certificate)rbi/sebi registration certificatelicense issued by food and drug control authoritiesimport - export certificate (iec code) issued by the director general of foreign tradedocuments for establishing proof of addresslandline telephone bill/electricity bill of public & approved private operators in the state. (bills not to be older than 4 months from the date of account opening)property ownership deed i.e. title deeds of the property in the name of the firm duly stamped and registeredtan allotment letter issued in the name of the firmlatest property tax or water tax paid receipt/bill raised in the name of the firmexisting bank account statement or passbook of a psu/private sector/foreign bank. statement not older than 4 months from the date of account opening to be accepted** this is only indicative list. please visit your nearest branch for details",What are the documents required for opening a current account of a sole proprietorship firm?,following documents are required to open a current account of a sole proprietorship entity:proof of existence in the name of firmproof of address in the name of firmkyc of the proprietor any two of the below listed documents shall be obtained for establishing proof of existence.
a merchant advantage plus current account offers you the following privileges:free limit for cash deposits up to four times the amount swiped at the hdfc bank edc machine linked to your merchant advantage plus current accountfree and faster collection of outstation cheques at hdfc bank locationsfree rtgs and neft transactionsfree billpay and instaalertsfree regular and business debit cardsthese privileges make a merchant advantage plus current account different from a regular current account.,How is a merchant advantage plus current account different from a regular current account offered by most banks?,a merchant advantage plus current account offers you the following privileges:free limit for cash deposits up to four times the amount swiped at the hdfc bank edc machine linked to your merchant advantage plus current accountfree and faster collection of outstation cheques at hdfc bank locationsfree rtgs and neft transactionsfree billpay and instaalertsfree regular and business debit cardsthese privileges make a merchant advantage plus current account different from a regular current account.
"yes, you can use verified by visa/ mastercard securecode from any computer that has an internet connection and internet explorer, 5.0 and above or mozilla firefox 1.5 and above or netscape navigator 8.1 and above.",Can you use verified by visa/ mastercard securecode from any other computer?,"yes, you can use verified by visa/ mastercard securecode from any computer that has an internet connection and internet explorer, 5."
We automatically send you an email notification when your statement or a legal notice is ready to be viewed in Citi庐 Online.,How will you notify me when your online statement or letter is ready to be viewed if you are Paperless?,We automatically send you an email notification when your statement or a legal notice is ready to be viewed in Citi庐 Online.
"yes, you can set a standing instruction in your account to pay your annual locker rent.",Can you pay for the rent of a locker through your account?,"yes, you can set a standing instruction in your account to pay your annual locker rent."
"yes, transaction history will be available in mpassbook in offline mode also. please note this will only be applicable after one time usage and data shown will be till last sync period only. for first time users data connection will be required.",Will your transaction history be available offline?,"yes, transaction history will be available in mpassbook in offline mode also."
otp will be sent only via sms to the customers' registered mobile number.,How will the otp be sent to the customers?,otp will be sent only via sms to the customers' registered mobile number.
"as per the terms & conditions of fixed deposit accounts of the bank, the penalty on premature closure of fixed deposits, including sweep-in and partial closures, has been fixed by the bank at the rate of 1% of the fixed deposit interest rate. this is applicable with effect from 24th january, 2011.",Do you need to pay any penalty on premature closure of fixed deposits?,"as per the terms & conditions of fixed deposit accounts of the bank, the penalty on premature closure of fixed deposits, including sweep-in and partial closures, has been fixed by the bank at the rate of 1% of the fixed deposit interest rate."
"No, we are not able to accept applications from overseas residents. You must be a UK resident.","9. you live overseas, can you still apply?","No, we are not able to accept applications from overseas residents."
"No, we are not able to accept applications from overseas residents. You must be a UK resident.","9. you live overseas, can you still apply?","No, we are not able to accept applications from overseas residents."
"No, we are not able to accept applications from overseas residents. You must be a UK resident.","19. you live overseas, can you still apply?","No, we are not able to accept applications from overseas residents."
"yes, you can. our advanced technology provides you with the flexibility of accessing your account from any of our branches.",Can you access your premium current account from any hdfc bank branch?,our advanced technology provides you with the flexibility of accessing your account from any of our branches.
all demat account holder(s) will have to fill the kyc application form at the time of demat account opening. all the holders are required to submit self - attested copies relevant & valid proof of identity and proof of address. self- attested pan card copy is mandatory for all the holders to submit. photgraph of the demat account holder (s) to be affixed on the kyc application form with across signature,What are the kyc requirements for a demat account?,self- attested pan card copy is mandatory for all the holders to submit.
"Balance transfer requests may be submitted over the phone, in person, or through secure messaging within Online Banking. In order to process your request, please have the following information available:",How do you submit a balance transfer request?,"Balance transfer requests may be submitted over the phone, in person, or through secure messaging within Online Banking."
"yes, you can open a recurring deposit in a joint name.",Can your recurring deposit be opened in joint names?,"yes, you can open a recurring deposit in a joint name."
"you can register new payees on your hdfc bank mobilebanking. all you need to do is login into mobilebanking (after registration, there is a waiting time of 30 minutes) and then you can make payments via mobilebanking.",Can you make payments to new payees?,"all you need to do is login into mobilebanking (after registration, there is a waiting time of 30 minutes) and then you can make payments via mobilebanking."
"no, there is no prescribed minimum balance. you can have zero balance in your account.",Do you have to keep any minimum balance of securities in your account?,you can have zero balance in your account.
"the investtrack facility is available exclusively to our imperia, preferred and classic customers.",Who can avail of the investtrack facility?,"the investtrack facility is available exclusively to our imperia, preferred and classic customers."
you may obtain the noc for fitting an lpg/cng kit on your registered vehicle under finance with us by visiting any of our retail loan service center and submit your request .,How do you obtain a noc from the bank for fitting an lpg/cng kit on your vehicle under finance with hdfc bank?,you may obtain the noc for fitting an lpg/cng kit on your registered vehicle under finance with us by visiting any of our retail loan service center and submit your request.
currently dth/prepaid mobile recharge is only available online.,Can you register dth / prepaid recharge via form?,currently dth/prepaid mobile recharge is only available online.
"Depending on your card, you may be able to check your balance on the issuer's website. Certain merchants will also have the ability to read your card's balance for you.",How can you get the balance on your prepaid travel card?,"Depending on your card, you may be able to check your balance on the issuer's website."
Cash with purchase is a service offered by select retailers that allows consumers to get cash from their debit card when making a purchase.,What is cash with purchase?,Cash with purchase is a service offered by select retailers that allows consumers to get cash from their debit card when making a purchase.
"yes, you will be notified through email on the expiry of your times points. the emails notification will be sent to you from times internet limited (til).",Will you get notification about the expiry of your times points?,"yes, you will be notified through email on the expiry of your times points."
"no. you can only get the benefits of verified by visa/ mastercard securecode at the participating online stores.however a number of online stores have the service available to them. in the meantime, if an online stores you trust is not yet participating; you can perform the transaction using netsafe.",Can you get the benefit of verified by visa/ mastercard securecode security at online stores that are not participating in the service?,you can only get the benefits of verified by visa/ mastercard securecode at the participating online stores.
"yes. when you open an account, you will be issued an at-par cheque book, which is payable at all our branches.",Can you make payments to your suppliers at hdfc bank branches through a single cheque book?,"when you open an account, you will be issued an at-par cheque book, which is payable at all our branches."
A contactless card is a credit card equipped with near field communication (NFC) that can make payments at a terminal without needing to be swiped or inserted. Cards equipped with contactless technology will display the Contactless Indicator.,What is a contactless card?,A contactless card is a credit card equipped with near field communication (NFC) that can make payments at a terminal without needing to be swiped or inserted.
"you will need to be registered for smsbanking services. if you are not registered for the service, you can download the app and register for the service.",How do you get registered for this service?,you will need to be registered for smsbanking services.
"If you purchased an item but received the wrong one, please contact the merchant to try to resolve the situation. If you and the merchant cannot resolve the issue, and you want to file a disputed transaction, this must be done directly with the financial institution that issued your Mastercard.Typically, there is a customer service number for your financial institution on the back of the card that you can call. You can always contact the Mastercard Assistance Center either toll-free at 1-800-Mastercard (1-800-627-8372), or collect from outside the U.S. at 1-636-722-7111.",You made a purchase but received the wrong item. What should you do?,"If you purchased an item but received the wrong one, please contact the merchant to try to resolve the situation."
It could take up to 90 days for the FICO庐 Score to become available in online and mobile banking.,"How long after getting approved for a credit card will your FICO庐 Score be available in online and mobile banking?
",It could take up to 90 days for the FICO庐 Score to become available in online and mobile banking.
"you have to maintain a minimum average monthly balance (amb) of rs. 25,000.",What is the minimum average monthly balance required if you have a merchant advantage current account?,you have to maintain a minimum average monthly balance (amb) of rs.
"Access to your Credit Score, plus your Credit Score History and Credit Report Summary, is provided free online. Sign in to your account online and select 'Credit Score' in the site menu or at the top of most pages. Then, just agree to the Terms of Use / Credit Score Authorization to get started.",How do you access your free online Credit Score?,Sign in to your account online and select 'Credit Score' in the site menu or at the top of most pages.
"in case any of the holders in a jointly held physical certificate expires and is / are survived by a single / joint holders in the physical certificate, then this certificate can be submitted for demat to a demat account held by the surviving holder(s) as present on the certificate. this request, called transmission cum demat, can be processed by a dp on receipt of a drf, original physical certificate, transmission cum demat form, original / notarised / gazette attested death certificate.",What is transmission cum demat?,"in case any of the holders in a jointly held physical certificate expires and is / are survived by a single / joint holders in the physical certificate, then this certificate can be submitted for demat to a demat account held by the surviving holder(s) as present on the certificate."
"Your ISA allowance is the total amount of money you can save in an ISA in the current tax year. An ISA is an Individual Savings Account which protects your savings in a tax-free wrapper, so you will never pay any tax on the interest you earn. The government decides each tax year how much can be saved in an ISA ?this is known as the ISA Allowance or Maximum Annual Subscription Allowance and for tax year 2021/2022 (which runs from 6th April 2021 ?5th April 2022) it is 拢20,000.",What is an ISA allowance?,"The government decides each tax year how much can be saved in an ISA ?this is known as the ISA Allowance or Maximum Annual Subscription Allowance and for tax year 2021/2022 (which runs from 6th April 2021 ?5th April 2022) it is 拢20,000."
"autopay is a facility available to hdfc bank account holders. it takes care of your credit card bill payments. if you register for the autopay facility, your outstanding credit card statement amount will be automatically debited from your hdfc bank account on your payment due date every month. the payment will be credited to your credit card account the following day.",What is the autopay facility?,"if you register for the autopay facility, your outstanding credit card statement amount will be automatically debited from your hdfc bank account on your payment due date every month."
"to know the charges for collection of cheques levied in your account, click here to view the current schedule of charges. kindly check under the following headings:collection of outstation cheques - our bank locationscollection of outstation cheques - other locationsthese charges attract a service tax and an educational cess as applicable in terms of the current finance bill.",What are the charges for collection of outstation cheques?,kindly check under the following headings:collection of outstation cheques - our bank locationscollection of outstation cheques - other locationsthese charges attract a service tax and an educational cess as applicable in terms of the current finance bill.
"yes, debt instruments, bonds, mutual fund units and government securities can also be dematerialised in the same demat account where equities are held. however, for holding commodities a separate demat account must be opened.",Can debt instruments and government securities be dematerialised in the same demat account?,"yes, debt instruments, bonds, mutual fund units and government securities can also be dematerialised in the same demat account where equities are held."
"Tokenization is the process of replacing a card primary account number (PAN)he 16-digit number on the plastic card with a unique alternate card number, or token.?Tokens can be used for mobile point-of-sale transactions, in-app purchases or online purchases.",What is tokenization?,"Tokenization is the process of replacing a card primary account number (PAN)he 16-digit number on the plastic card with a unique alternate card number, or token."
"micr stands for magnetic ink character recognition. if you are a demat account holder, you must provide this to get ecs credits in your linked bank account pertaining to dividend / redemption proceeds, etc.",What does micr stand for?,"if you are a demat account holder, you must provide this to get ecs credits in your linked bank account pertaining to dividend / redemption proceeds, etc."
"zipdrive is an instant digital new car loan exclusively designed for hdfc bank customers. apart from getting your loan disbursed instantly, customers also enjoy up to 100% financing, with flexible tenures and negligible paper work. this is an industry first feature.",What is a zipdrive car loan?,zipdrive is an instant digital new car loan exclusively designed for hdfc bank customers.
"following are the currency conversion service tax slabs applicable at the time of load, reload and refund:0.14% of the gross value or rs. 35/- whichever is higherrs. 140 plus 0.07% of the amount exceeding rs. 1 lakhrs. 770 plus 0.014% of the amount exceeding rs. 10 lakhs, subject to a maximum of rs. 7000","How much is the currency conversion service tax applicable at the time of load, reload and refund?",014% of the amount exceeding rs.
benefits are quick processing time and simplified documentation. further there are preferred rates for customers who have a strong banking relationship with the bank.,What are benefits for hdfc bank account holders ?,benefits are quick processing time and simplified documentation.
"If you want to understand what in your credit report, you can request your free annual credit report fromwww.annualcreditreport.com. Youe able to pull one free credit report each year from each of the credit reporting agencies. After pulling your credit report, if you have any questions, you can call the number provided on your report.",Where can you get a copy of your credit report?,"If you want to understand what in your credit report, you can request your free annual credit report from www."
"hdfc life capital shield is a non-par unit linked plan. it is an investment-cum-insurance plan that offers the potential of better returns, by investing a part of your money in equity and the balance in debt, while also providing you with life cover. the allocation of your money to debt fund shall systematically increase over time to protect your capital.",What is hdfc life capital shield?,"it is an investment-cum-insurance plan that offers the potential of better returns, by investing a part of your money in equity and the balance in debt, while also providing you with life cover."
"You should allow up to 30 days, although most credits will post to your account within 15 days.","Before you submit a dispute, how long does it normally take for a merchant to credit your account?","You should allow up to 30 days, although most credits will post to your account within 15 days."
yes you can apply before securing an admission.,Can you apply before confirmed admission?,yes you can apply before securing an admission.
yes. you can pre-pay the loan any time after 6 months of availing of the loan. you just have to pay a small pre-payment fee on the outstanding loan amount.,Do you have the option to pre-pay the entire loan amount?,you just have to pay a small pre-payment fee on the outstanding loan amount.
dematerialisation is the process of converting securities held in physical form (certificates) to an equivalent number of securities in electronic form and crediting the same to the investor demat account. dematerialised securities do not have any certificate numbers or distinctive numbers and are dealt with only in quantity i.e. the securities are fungible.,What is dematerialisation (demat)?,dematerialisation is the process of converting securities held in physical form (certificates) to an equivalent number of securities in electronic form and crediting the same to the investor demat account.
"you can use any atm, debit, credit or prepaid card that permits cash withdrawals at an atm. you can also use these cards for various other transactions.",What type of cards can you use at an atm?,"you can use any atm, debit, credit or prepaid card that permits cash withdrawals at an atm."
"you can avail of a loan from rs 50,000/- to rs 40,00,000/- depending on your income, repayment capacity and respective location product cap.",How much loan can you avail of for professionals?,"you can avail of a loan from rs 50,000/- to rs 40,00,000/- depending on your income, repayment capacity and respective location product cap."
"it will take 25 working days to activate the revised instructions. in case your next instalment falls due prior to the said period, an instruction already lodged with us will be presented for payment.",How much time will it take to change the mode of repayment/ account for your loan?,"in case your next instalment falls due prior to the said period, an instruction already lodged with us will be presented for payment."
hdfc bank apollo medical benefits card will be available to you within 15 working days from the date of completion of formalities.,How soon can you get the hdfc bank apollo medical benefits card?,hdfc bank apollo medical benefits card will be available to you within 15 working days from the date of completion of formalities.
you can add a maximum of 5 mobile numbers (including self) for recharge.,How many family members/friends you can add for missed call recharge facility?,you can add a maximum of 5 mobile numbers (including self) for recharge.
nomination is mandatory in the account.,Is nomination required in the account?,nomination is mandatory in the account.
"no, you do not need to have a hdfc bank account to purchase this. you can use any bank's netbanking or debit/credit card. (visa, master, diners)",Do you need to have an account hdfc bank account to purchase the hdfc bank egiftplus card?,"no, you do not need to have a hdfc bank account to purchase this."
"to perform a secure ivr transaction, you will need your 16-digit card number, card expiry date, cvv number, mobile number and ivr password.",What details are required when you want to perform a secure ivr transaction?,"to perform a secure ivr transaction, you will need your 16-digit card number, card expiry date, cvv number, mobile number and ivr password."
"your atm pin is totally safe as no one, not even anyone from hdfc bank, will have access to it.if you hold a valid hdfc bank credit card but are not an hdfc bank account holder",How safe will your atm pin be?,"your atm pin is totally safe as no one, not even anyone from hdfc bank, will have access to it."
"If you have Mastercard Zero Liability Protection, once you report your card to Mastercard as lost or stolen, no unauthorized charges should be posted to your account. However, we recommend you review your next two billing statements just to be sure. If you see unauthorized transactions, please promptly contact the financial institution that issued your card. Look for their customer service number on the back of the card or on your billing statement. You can also contact the Mastercard Assistance Center either toll-free at 1-800-Mastercard (1-800-627-8372) or collect from outside the U.S. at 1-636-722-7111.",What liability do you have for unauthorized purchases made on a lost or stolen Mastercard?,"If you see unauthorized transactions, please promptly contact the financial institution that issued your card."
you can transfer balance of one currency wallet to other currency wallets depending on your need using the netbanking facility. currency conversion charges as decided by the bank from time to time would be applicable for such transfers and would be communicated to you at the time of transfer.,Can you transfer currency on your card from one wallet to other?,you can transfer balance of one currency wallet to other currency wallets depending on your need using the netbanking facility.
"under the ayush benefit expenses are reimbursed for in-patient treatment taken under ayurveda, unani, sidha or homeopathy.",What is covered under the ayush benefit?,"under the ayush benefit expenses are reimbursed for in-patient treatment taken under ayurveda, unani, sidha or homeopathy."
Your nominated bank account is a UK bank account held in your name. Money can only be transferred from your BLME savings account to your nominated bank account.,14. What is a nominated bank account?,Your nominated bank account is a UK bank account held in your name.
"Yes. Although your account is automatically reviewed for credit line increase eligibility, you may request a credit line increase yourself even if we haven't notified you that an offer is available. Please call Customer Service at 1-877-825-3242 for more information.",May you request a credit line increase?,"Although your account is automatically reviewed for credit line increase eligibility, you may request a credit line increase yourself even if we haven't notified you that an offer is available."
"no, isic forexplus card cannot be loaded against payment of cash.",Can you load isic forexplus card by making payment in cash?,"no, isic forexplus card cannot be loaded against payment of cash."
"you can place a request to regenerate your atm pin by either:calling your local hdfc bank phonebanking numberorvisiting your nearest hdfc bank branchbased on your request, your atm pin will either be dispatched to your recorded mailing address or to your nearest branch from where you can collect it in person.","You have forgotten your atm pin, how can you retrieve it?","you can place a request to regenerate your atm pin by either:calling your local hdfc bank phonebanking number orvisiting your nearest hdfc bank branchbased on your request, your atm pin will either be dispatched to your recorded mailing address or to your nearest branch from where you can collect it in person."
"no, there is no surrender value available under this plan. ",Is there any surrender benefit for this plan?,"no, there is no surrender value available under this plan."
"Only you can decide if this is the right service for you. However, if you got any questions about how the service works, then please give us a call.",How do you know if Plan & Invest is right for me?,Only you can decide if this is the right service for you.
"you can opt for extra life option under classic benefit under the plan. in case of death due to accident during the term of the policy, an additional sum assured will be payable to the nominee in addition to the death benefit under the plan. please refer to product brochure for further details and/or consult relationship manager.",What is extra life option in the policy?,you can opt for extra life option under classic benefit under the plan.
gifting we believe is special to the occasion and hence you cannot reload this card. every occasion is a new occasion and deserves a new card.,Can the value of the card be topped up?,every occasion is a new occasion and deserves a new card.
critical illness insurance provides you and your family additional financial security on the diagnosis of a critical illness. the policy provides a lump sum amount which could be used for:cost of care and treatmentrecuperation aiddebts pay offany lost in income due to a decrease in ability to work,Why should you buy critical illness insurance?,critical illness insurance provides you and your family additional financial security on the diagnosis of a critical illness.
"there is no limit on maximum amount that you can invest in this plan, subject to underwriting.",What is the maximum amount you can invest?,"there is no limit on maximum amount that you can invest in this plan, subject to underwriting."
"the shares will remain in your name only. a loan against security lets you reap your regular benefits from shares such as rights, dividends and bonuses whilst you take a loan against them.",Would the shares be held in your name?,the shares will remain in your name only.
"on death of the life assured during the term of the policy, provided all due premiums are paid; the nominee will receive the higher of the following:sum assured on death + accrued reversionary bonuses + interim bonus (if any) + terminal bonus (if any)105% of premiums# paid till date
	where, the sum assured on death shall be the higher of:sum assured on maturity10 times annualised premium#for entry age up to 50 years and 7 times annualised premium#for entry age greater than 50 years#excludes any underwriting extra premiums, modal loadings and any taxes paid on death of the life assured during the payout period, the death benefit payable shall not be reduced by the survival benefits already paid. on payment of the death benefit during the policy term, the policy will terminate and no future payouts will be payable.",What is the death benefit under the plan?,"on payment of the death benefit during the policy term, the policy will terminate and no future payouts will be payable."
a demat account holder/s can apply for a new delivery instruction booklet by submitting a duly completed request letter signed by all the holders. the booklet is then dispatched to the demat account holder address.,How can a demat account holder/s apply for a new delivery instruction booklet?,the booklet is then dispatched to the demat account holder address.
you can get it by calling your mobile operator and subscribing to a gprs connection. each operator has different ways of activating gprs and time frames for connectivity. kindly contact your mobile operator for details.,How do you get the gprs service?,you can get it by calling your mobile operator and subscribing to a gprs connection.
"Treat your contactless card or device as you would any other credit, debit or prepaid card. Always know where your contactless card or device is and keep it in a safe place. And be sure to keep a record of all of your card numbers, expiration dates and emergency phone numbers.",Do you have to treat your Mastercard contactless card or device in any special way?,Always know where your contactless card or device is and keep it in a safe place.
"Treat your contactless card or device as you would any other credit, debit or prepaid card. Always know where your contactless card or device is and keep it in a safe place. And be sure to keep a record of all of your card numbers, expiration dates and emergency phone numbers.",Do you have to treat your Mastercard contactless card or device in any special way?,Always know where your contactless card or device is and keep it in a safe place.
we offer special rate of interest if you are an hdfc bank customer. please visit our nearest branch or call phonebanking number for more details.,What are the special privileges that hdfc bank customers can avail of?,we offer special rate of interest if you are an hdfc bank customer.
"The amount of cash you can get may vary by merchant and be subject to availability of funds at the time of purchase. If you have questions about the availability of funds at a particular merchant, please contact the merchant directly. The amount you can take out is also subject to the availability of funds in the account linked to your debit card.",What's the maximum amount of cash you can get with your purchase?,The amount you can take out is also subject to the availability of funds in the account linked to your debit card.
You can initiate a payment dispute for a missing or misapplied payment by contacting Customer Service at 877-825-3242.,How do you dispute a payment?,You can initiate a payment dispute for a missing or misapplied payment by contacting Customer Service at 877-825-3242.
"this digital solution helps you to manage daily expenses that can be spend at various stores, restaurants, shopping outlets, etc & you can also make online transactions. these funds are stored in your millennia prepaid card, and can be spent, to make purchases and cash withdrawals.",What is the millennia prepaid card?,"this digital solution helps you to manage daily expenses that can be spend at various stores, restaurants, shopping outlets, etc & you can also make online transactions."
"depending on your eligibility, the maximum amount you can avail as an overdraft is rs. 1 lakh. the minimum overdraft amount is rs. 25,000.",What is the amount you can get as an overdraft?,"depending on your eligibility, the maximum amount you can avail as an overdraft is rs."
"Sign in to your account online and select 'Documents & Statements' in the site menu or at the top of most pages to get started. Alternatively, you may enroll by locating the 'Paperless Documents' section on the 'Settings' page.",How do you enroll in Paperless Documents?,"Alternatively, you may enroll by locating the 'Paperless Documents' section on the 'Settings' page."
"yes, all ivr based phonebanking services are available free of cost. however agent assisted calls will be charged.",Are all ivr based calls free?,"yes, all ivr based phonebanking services are available free of cost."
